latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,meter
5.1033,125.3179,44.32,4.3,131,1.97,0.7,5,9.3,0.126,18
-8.8535,117.1527,116.88,4.9,59,2.991,1.06,6.5,7.3,0.091,38
4.7512,96.2239,10,5.3,148,0.862,1.29,6.6,1.8,0.073,18
-10.1202,118.7274,10,4.5,86,3.764,0.95,7.6,1.9,0.084,42
1.4361,127.0142,120.78,4.5,105,0.748,0.76,8,6.6,0.089,37
0.6058,126.2786,40.52,4.4,113,1.1,0.37,8.4,7.2,0.149,13
-9.1216,122.4742,142.29,5.2,54,0.536,0.95,3.5,6.2,0.071,19
-1.3392,99.6884,45.74,4.7,186,2.135,0.59,9,8.1,0.088,39
1.099,98.9888,106.01,4.2,155,1.427,0.47,7.3,4.8,0.122,19
7.168,126.6065,76.31,4.7,81,6.398,0.89,9.1,1.9,0.049,126
-7.537,127.7248,148.79,4.9,52,3.569,1.09,7.8,5.1,0.12,22
-6.3139,119.5984,15.05,4.3,79,3.488,0.89,8.1,5.7,0.137,15
-0.2312,125.2095,51.2,5.5,46,2.376,0.97,6.3,7.2,0.071,19
-4.5834,125.4204,498.01,4.6,47,4.401,0.79,10.6,8.3,0.086,40
-7.8628,118.7906,15.18,5.3,53,2.986,1.07,5.8,3.9,0.079,54
-7.8828,118.7427,22.63,4.6,72,3.021,0.9,6.1,7.4,0.114,23
-6.5828,105.2779,95.52,4.3,141,3.89,0.76,9.1,9.1,0.111,23
8.9111,126.5555,42.14,5,36,2.069,0.81,7.8,4.8,0.034,269
9.053,123.3007,70.39,4.3,116,7.634,0.73,6.5,10.1,0.099,29
8.284,127.4254,10,4.4,143,2.191,0.62,10.5,1.9,0.102,28
-1.1142,126.8537,18.49,5.3,59,1.942,0.92,6.3,4.2,0.073,18
-7.2402,105.8131,65.03,4.7,95,3.223,1.33,4.4,8.4,0.09,38
-7.2213,105.7408,62.72,4.4,130,3.239,1.22,4,9.9,0.138,15
7.3686,126.7722,48.46,4.4,118,1.22,1.05,8.5,7,0.1,29
5.7125,125.9274,100.04,4.8,91,1.392,0.87,8.3,1.1,0.075,55
-9.4413,107.2374,10,4.4,83,1.872,0.58,8.5,1.9,0.123,19
2.6186,95.4701,22.19,4.9,133,2.476,0.77,8.7,5.3,0.082,47
-4.6491,102.5962,69.24,4.7,95,2.723,0.71,8.4,7.7,0.076,52
-7.1958,105.9181,43.91,6,75,3.274,1.16,8.1,6.7,0.071,19
-8.9612,110.0071,77.72,4.4,61,1.16,0.85,5.7,7.1,0.087,38
8.9363,126.255,42.79,4.2,133,1.971,0.7,10,9.6,0.113,22
-1.254,120.688,38.9,4.4,94,2.093,1.01,8.4,11.9,0.169,10
-7.6484,128.0708,147.29,4.7,33,3.215,0.75,2.5,7.2,0.063,76
2.1621,128.193,50.74,4.2,160,1.609,0.63,11.4,11.8,0.167,10
1.9136,126.3627,38.8,4.2,139,1.514,0.6,13.1,8.5,0.146,13
1.3354,96.9868,29.99,4.3,197,0.589,0.91,6.3,6.3,0.1,28
7.9121,127.2692,53.6,4.7,102,1.873,0.49,5.8,7.9,0.083,44
1.5974,126.5113,53.86,4.6,99,1.184,0.62,4.4,8.3,0.085,41
-2.2178,119.0911,30.78,4.4,101,2.447,0.5,7.2,7.1,0.107,25
-9.7463,122.9814,81.46,4.2,83,1.267,0.59,6.1,8.3,0.175,9
5.614,123.8697,520.84,4,168,6.701,0.42,20.1,10,0.138,14
5.6191,126.2464,118.62,4.4,98,1.586,1.01,8.6,5.4,0.079,46
-5.5803,110.4001,531.41,4.4,37,1.459,0.65,6.7,7.1,0.069,61
-9.6745,107.5209,10,4.6,92,2.007,0.42,4.6,1.9,0.104,28
0.4389,123.6688,237.71,5.3,30,1.722,0.97,7.5,5.2,0.054,33
1.709,126.0494,87.58,4.6,81,1.612,0.61,5,7.4,0.086,40
-3.5722,101.6537,49.22,4.6,176,3.112,0.78,9.7,5.9,0.083,43
-4.9212,102.9261,57.68,4.7,93,2.674,0.61,5.8,7.4,0.081,46
-2.7556,126.8614,10,4.3,66,3.54,0.74,6.3,1.6,0.126,18
